Lea State,LEA,School State,School,ID,Year,Category,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),LEP
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Enrollment in AP classes,0.00,0.00,,,5.00,70.00,0.00,,75.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,5.00,45.00,0.00,,55.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,5.00,35.00,0.00,,45.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Passing some AP tests taken,0.00,0.00,,,0.00,5.00,0.00,,5.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Passing no AP tests taken,0.00,0.00,,,5.00,50.00,0.00,,55.00,0.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Total Enrollment (Secondary Schools),0.00,5.00,,,20.00,895.00,5.00,,920.00,120.00,20.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2006,Enrollment in AP classes,0.00,5.00,,,5.00,45.00,135.00,,185.00,5.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2006,Taking AP tests for some AP courses taken,0.00,5.00,,,5.00,45.00,115.00,,170.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,5.00,25.00,85.00,,120.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2006,Passing all AP tests taken,0.00,0.00,,,0.00,10.00,50.00,,65.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2006,Passing some AP tests taken,0.00,0.00,,,0.00,5.00,25.00,,35.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2006,Passing no AP tests taken,0.00,5.00,,,5.00,35.00,35.00,,75.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2006,Total Enrollment (Secondary Schools),0.00,20.00,,,35.00,865.00,350.00,,1270.00,140.00,15.00
GA,ATLANTA CITY,GA,THERRELL HIGH SCHOOL,130012000070,2006,Enrollment in AP classes,0.00,0.00,,,0.00,140.00,0.00,,140.00,0.00,0.00
GA,ATLANTA CITY,GA,THERRELL HIGH SCHOOL,130012000070,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,40.00,0.00,,40.00,0.00,0.00
GA,ATLANTA CITY,GA,THERRELL HIGH SCHOOL,130012000070,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,THERRELL HIGH SCHOOL,130012000070,2006,Passing all AP tests taken,0.00,0.00,,,0.00,5.00,0.00,,5.00,0.00,0.00
GA,ATLANTA CITY,GA,THERRELL HIGH SCHOOL,130012000070,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,THERRELL HIGH SCHOOL,130012000070,2006,Passing no AP tests taken,0.00,0.00,,,0.00,40.00,0.00,,40.00,0.00,0.00
GA,ATLANTA CITY,GA,THERRELL HIGH SCHOOL,130012000070,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,5.00,880.00,0.00,,885.00,120.00,10.00
GA,ATLANTA CITY,GA,WASHINGTON HIGH SCHOOL,130012000072,2006,Enrollment in AP classes,0.00,0.00,,,0.00,110.00,0.00,,110.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON HIGH SCHOOL,130012000072,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,60.00,0.00,,60.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON HIGH SCHOOL,130012000072,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,45.00,0.00,,45.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON HIGH SCHOOL,130012000072,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON HIGH SCHOOL,130012000072,2006,Passing some AP tests taken,0.00,0.00,,,0.00,5.00,0.00,,5.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON HIGH SCHOOL,130012000072,2006,Passing no AP tests taken,0.00,0.00,,,0.00,55.00,0.00,,55.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON HIGH SCHOOL,130012000072,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,5.00,1375.00,0.00,,1380.00,140.00,0.00
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2006,Enrollment in AP classes,0.00,0.00,,,0.00,125.00,0.00,,125.00,0.00,0.00
