Lea State,LEA,School State,School,ID,Year,Category,Instances,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,LEP
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Out-of-school suspension,,0.00,0.00,,,0.00,135.00,0.00,,140.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,15.00,0.00,,15.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Total enrollment,,0.00,5.00,,,20.00,895.00,5.00,,920.00,20.00
GA,ATLANTA CITY,GA,KIMBERLY ELEMENTARY SCHOOL,130012000038,2006,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,KIMBERLY ELEMENTARY SCHOOL,130012000038,2006,Out-of-school suspension,,0.00,0.00,,,0.00,10.00,0.00,,10.00,0.00
GA,ATLANTA CITY,GA,KIMBERLY ELEMENTARY SCHOOL,130012000038,2006,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,KIMBERLY ELEMENTARY SCHOOL,130012000038,2006,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,KIMBERLY ELEMENTARY SCHOOL,130012000038,2006,Total enrollment,,0.00,0.00,,,0.00,420.00,0.00,,425.00,5.00
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2006,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2006,Out-of-school suspension,,0.00,0.00,,,0.00,15.00,0.00,,15.00,0.00
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2006,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2006,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2006,Total enrollment,,0.00,0.00,,,105.00,390.00,0.00,,500.00,80.00
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2006,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2006,Out-of-school suspension,,0.00,0.00,,,0.00,15.00,0.00,,15.00,0.00
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2006,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2006,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2006,Total enrollment,,0.00,0.00,,,0.00,450.00,0.00,,450.00,0.00
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2006,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2006,Out-of-school suspension,,0.00,0.00,,,0.00,75.00,0.00,,75.00,0.00
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2006,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2006,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2006,Total enrollment,,0.00,0.00,,,0.00,300.00,0.00,,300.00,0.00
GA,ATLANTA CITY,GA,C. W. HILL ELEMENTARY SCHOOL,130012000044,2006,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,C. W. HILL ELEMENTARY SCHOOL,130012000044,2006,Out-of-school suspension,,0.00,0.00,,,0.00,20.00,0.00,,20.00,0.00
GA,ATLANTA CITY,GA,C. W. HILL ELEMENTARY SCHOOL,130012000044,2006,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,C. W. HILL ELEMENTARY SCHOOL,130012000044,2006,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,C. W. HILL ELEMENTARY SCHOOL,130012000044,2006,Total enrollment,,0.00,0.00,,,0.00,355.00,0.00,,360.00,0.00
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2006,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2006,Out-of-school suspension,,0.00,0.00,,,0.00,5.00,0.00,,5.00,0.00
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2006,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
