Lea State,LEA,School State,School,ID,Year,Category,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,ATLANTA CITY,GA,SOUTH ATLANTA HIGH SCHOOL,130012000016,2006,Total enrollment,0.00,5.00,,,20.00,895.00,5.00,,920.00,120.00,,20.00
GA,ATLANTA CITY,GA,LONG MIDDLE SCHOOL,130012000017,2006,Total enrollment,0.00,0.00,,,20.00,530.00,5.00,,550.00,85.00,,5.00
GA,ATLANTA CITY,GA,BURGESS/PETERSON ELEMENTARY SCHOOL,130012000021,2006,Total enrollment,0.00,0.00,,,0.00,370.00,0.00,,375.00,60.00,,0.00
GA,ATLANTA CITY,GA,BOYD ELEMENTARY SCHOOL,130012000022,2006,Total enrollment,0.00,0.00,,,0.00,285.00,0.00,,285.00,25.00,,0.00
GA,ATLANTA CITY,GA,KING MIDDLE SCHOOL,130012000025,2006,Total enrollment,0.00,5.00,,,30.00,515.00,15.00,,560.00,70.00,,10.00
GA,ATLANTA CITY,GA,INMAN MIDDLE SCHOOL,130012000027,2006,Total enrollment,5.00,10.00,,,25.00,490.00,300.00,,830.00,95.00,,10.00
GA,ATLANTA CITY,GA,GARDEN HILLS ELEMENTARY SCHOOL,130012000029,2006,Total enrollment,0.00,20.00,,,400.00,80.00,70.00,,575.00,80.00,,250.00
GA,ATLANTA CITY,GA,TOWNS ELEMENTARY SCHOOL,130012000034,2006,Total enrollment,0.00,0.00,,,55.00,355.00,0.00,,415.00,25.00,,50.00
GA,ATLANTA CITY,GA,RIVERS ELEMENTARY SCHOOL,130012000036,2006,Total enrollment,0.00,15.00,,,110.00,195.00,150.00,,470.00,60.00,,60.00
GA,ATLANTA CITY,GA,KIMBERLY ELEMENTARY SCHOOL,130012000038,2006,Total enrollment,0.00,0.00,,,0.00,420.00,0.00,,425.00,30.00,,5.00
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2006,Total enrollment,0.00,0.00,,,105.00,390.00,0.00,,500.00,35.00,,80.00
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2006,Total enrollment,0.00,0.00,,,0.00,450.00,0.00,,450.00,45.00,,0.00
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2006,Total enrollment,0.00,0.00,,,0.00,300.00,0.00,,300.00,35.00,,0.00
GA,ATLANTA CITY,GA,C. W. HILL ELEMENTARY SCHOOL,130012000044,2006,Total enrollment,0.00,0.00,,,0.00,355.00,0.00,,360.00,50.00,,0.00
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2006,Total enrollment,0.00,0.00,,,0.00,275.00,0.00,,275.00,20.00,,0.00
GA,ATLANTA CITY,GA,KENNEDY MIDDLE SCHOOL,130012000048,2006,Total enrollment,0.00,0.00,,,5.00,485.00,0.00,,490.00,55.00,,0.00
GA,ATLANTA CITY,GA,PARKS MIDDLE SCHOOL,130012000049,2006,Total enrollment,0.00,5.00,,,5.00,450.00,0.00,,460.00,45.00,,5.00
GA,ATLANTA CITY,GA,WOODSON ELEMENTARY SCHOOL,130012000050,2006,Total enrollment,0.00,0.00,,,0.00,395.00,0.00,,395.00,35.00,,0.00
GA,ATLANTA CITY,GA,TOOMER ELEMENTARY SCHOOL,130012000052,2006,Total enrollment,0.00,0.00,,,5.00,190.00,0.00,,195.00,30.00,,0.00
GA,ATLANTA CITY,GA,DUNBAR ELEMENTARY SCHOOL,130012000054,2006,Total enrollment,0.00,0.00,,,0.00,230.00,0.00,,230.00,15.00,,0.00
GA,ATLANTA CITY,GA,WATERS ELEMENTARY SCHOOL,130012000056,2006,Total enrollment,0.00,5.00,,,45.00,360.00,0.00,,410.00,45.00,,35.00
GA,ATLANTA CITY,GA,SYLVAN HILLS MIDDLE SCHOOL,130012000058,2006,Total enrollment,0.00,0.00,,,5.00,450.00,0.00,,455.00,45.00,,0.00
GA,ATLANTA CITY,GA,SLATER ELEMENTARY SCHOOL,130012000059,2006,Total enrollment,0.00,0.00,,,15.00,485.00,0.00,,500.00,45.00,,10.00
GA,ATLANTA CITY,GA,PRICE MIDDLE SCHOOL,130012000060,2006,Total enrollment,0.00,0.00,,,55.00,660.00,5.00,,715.00,95.00,,20.00
GA,ATLANTA CITY,GA,MILES ELEMENTARY SCHOOL,130012000063,2006,Total enrollment,0.00,0.00,,,5.00,465.00,0.00,,465.00,70.00,,5.00
GA,ATLANTA CITY,GA,HERNDON ELEMENTARY,130012000065,2006,Total enrollment,0.00,0.00,,,5.00,390.00,0.00,,395.00,40.00,,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2006,Total enrollment,0.00,20.00,,,35.00,865.00,350.00,,1270.00,140.00,,15.00
GA,ATLANTA CITY,GA,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,130012000069,2006,Total enrollment,0.00,0.00,,,5.00,580.00,0.00,,585.00,25.00,,0.00
GA,ATLANTA CITY,GA,THERRELL HIGH SCHOOL,130012000070,2006,Total enrollment,0.00,0.00,,,5.00,880.00,0.00,,885.00,120.00,,10.00
GA,ATLANTA CITY,GA,WILLIAMS ELEMENTARY SCHOOL,130012000071,2006,Total enrollment,0.00,0.00,,,0.00,515.00,5.00,,515.00,30.00,,0.00
GA,ATLANTA CITY,GA,WASHINGTON HIGH SCHOOL,130012000072,2006,Total enrollment,0.00,0.00,,,5.00,1375.00,0.00,,1380.00,140.00,,0.00
GA,ATLANTA CITY,GA,BENTEEN ELEMENTARY SCHOOL,130012000073,2006,Total enrollment,0.00,5.00,,,120.00,265.00,5.00,,390.00,20.00,,75.00
GA,ATLANTA CITY,GA,OGLETHORPE ELEMENTARY SCHOOL,130012000076,2006,Total enrollment,0.00,0.00,,,0.00,220.00,0.00,,220.00,30.00,,5.00
GA,ATLANTA CITY,GA,D. H. STANTON ELEMENTARY SCHOOL,130012000077,2006,Total enrollment,0.00,0.00,,,0.00,420.00,0.00,,420.00,25.00,,0.00
GA,ATLANTA CITY,GA,COAN MIDDLE SCHOOL,130012000082,2006,Total enrollment,0.00,0.00,,,5.00,370.00,0.00,,380.00,50.00,,0.00
GA,ATLANTA CITY,GA,CAPITOL VIEW ELEMENTARY SCHOOL,130012000084,2006,Total enrollment,0.00,0.00,,,5.00,220.00,0.00,,225.00,10.00,,0.00
GA,ATLANTA CITY,GA,M. A. JONES ELEMENTARY SCHOOL,130012000085,2006,Total enrollment,0.00,0.00,,,0.00,540.00,0.00,,540.00,60.00,,0.00
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2006,Total enrollment,0.00,5.00,,,10.00,2135.00,0.00,,2150.00,210.00,,5.00
GA,ATLANTA CITY,GA,COOK ELEMENTARY SCHOOL,130012000090,2006,Total enrollment,0.00,0.00,,,15.00,255.00,10.00,,280.00,45.00,,10.00
GA,ATLANTA CITY,GA,CLEVELAND ELEMENTARY SCHOOL,130012000091,2006,Total enrollment,0.00,0.00,,,5.00,430.00,0.00,,435.00,25.00,,0.00
GA,ATLANTA CITY,GA,CASCADE ELEMENTARY SCHOOL,130012000092,2006,Total enrollment,0.00,0.00,,,5.00,470.00,0.00,,475.00,30.00,,5.00
GA,ATLANTA CITY,GA,BLALOCK ELEMENTARY SCHOOL,130012000094,2006,Total enrollment,0.00,0.00,,,0.00,345.00,0.00,,345.00,45.00,,0.00
GA,ATLANTA CITY,GA,WHITEFOORD ELEMENTARY SCHOOL,130012000097,2006,Total enrollment,0.00,0.00,,,5.00,375.00,0.00,,380.00,25.00,,0.00
GA,ATLANTA CITY,GA,SCOTT ELEMENTARY SCHOOL,130012000099,2006,Total enrollment,0.00,0.00,,,5.00,410.00,5.00,,420.00,25.00,,5.00
GA,ATLANTA CITY,GA,FICKETT ELEMENTARY SCHOOL,130012000103,2006,Total enrollment,0.00,0.00,,,0.00,470.00,0.00,,475.00,45.00,,0.00
GA,ATLANTA CITY,GA,WHITE ELEMENTARY SCHOOL,130012000104,2006,Total enrollment,0.00,0.00,,,0.00,400.00,0.00,,400.00,30.00,,10.00
GA,ATLANTA CITY,GA,WALDEN MIDDLE SCHOOL,130012000105,2006,Total enrollment,0.00,0.00,,,25.00,240.00,0.00,,270.00,30.00,,15.00
GA,ATLANTA CITY,GA,PEYTON FOREST ELEMENTARY SCHOOL,130012000106,2006,Total enrollment,0.00,0.00,,,45.00,405.00,0.00,,450.00,40.00,,35.00
GA,ATLANTA CITY,GA,SUTTON MIDDLE SCHOOL,130012000107,2006,Total enrollment,0.00,35.00,,,175.00,360.00,255.00,,825.00,70.00,,85.00
GA,ATLANTA CITY,GA,FAIN ELEMENTARY SCHOOL,130012000110,2006,Total enrollment,0.00,0.00,,,30.00,430.00,0.00,,460.00,55.00,,25.00
GA,ATLANTA CITY,GA,CONTINENTAL COLONY ELEMENTARY SCHOOL,130012000113,2006,Total enrollment,0.00,0.00,,,0.00,325.00,0.00,,325.00,35.00,,0.00
GA,ATLANTA CITY,GA,CARVER SCHOOL OF ENTREPRENEURSHIP/SENIOR ACADEMY,130012000115,2006,Total enrollment,0.00,0.00,,,0.00,215.00,0.00,,215.00,40.00,,0.00
GA,ATLANTA CITY,GA,BEECHER HILLS ELEMENTARY SCHOOL,130012000118,2006,Total enrollment,0.00,0.00,,,0.00,350.00,0.00,,350.00,30.00,,0.00
GA,ATLANTA CITY,GA,CRIM OPEN CAMPUS,130012000120,2006,Total enrollment,0.00,0.00,,,5.00,385.00,0.00,,395.00,40.00,,5.00
GA,ATLANTA CITY,GA,WEST MANOR ELEMENTARY SCHOOL,130012000121,2006,Total enrollment,0.00,0.00,,,0.00,275.00,0.00,,275.00,15.00,,0.00
GA,ATLANTA CITY,GA,PERKERSON ELEMENTARY SCHOOL,130012000122,2006,Total enrollment,0.00,0.00,,,10.00,380.00,0.00,,390.00,55.00,,5.00
GA,ATLANTA CITY,GA,TURNER MIDDLE SCHOOL,130012000123,2006,Total enrollment,0.00,0.00,,,0.00,445.00,0.00,,445.00,95.00,,0.00
GA,ATLANTA CITY,GA,SMITH ELEMENTARY SCHOOL,130012000124,2006,Total enrollment,0.00,40.00,,,35.00,125.00,625.00,,825.00,70.00,,30.00
GA,ATLANTA CITY,GA,BRANDON ELEMENTARY SCHOOL,130012000127,2006,Total enrollment,0.00,15.00,,,35.00,50.00,605.00,,710.00,60.00,,15.00
GA,ATLANTA CITY,GA,USHER ELEMENTARY SCHOOL,130012000128,2006,Total enrollment,0.00,0.00,,,0.00,400.00,0.00,,400.00,35.00,,0.00
GA,ATLANTA CITY,GA,ADAMSVILLE ELEMENTARY SCHOOL,130012000129,2006,Total enrollment,0.00,0.00,,,10.00,405.00,0.00,,415.00,20.00,,10.00
