Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,ATLANTA CITY,GA,LONG MIDDLE SCHOOL,130012000017,2009,Personnel salaries at school level - total,6569127.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,LONG MIDDLE SCHOOL,130012000017,2009,Personnel salaries at school level - instructional staff only,6018843.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,LONG MIDDLE SCHOOL,130012000017,2009,Non-personnel expenditures at school level,550283.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,LONG MIDDLE SCHOOL,130012000017,2009,Personnel salaries at school level - teachers only,4980524.00,45.20,,,,,,,,,,,
GA,ATLANTA CITY,GA,LONG MIDDLE SCHOOL,130012000017,2009,Total enrollment,,,10.00,0.00,0.00,10.00,565.00,0.00,5.00,590.00,85.00,5.00,10.00
GA,ATLANTA CITY,GA,BOYD ELEMENTARY SCHOOL,130012000022,2009,Personnel salaries at school level - total,3749487.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,BOYD ELEMENTARY SCHOOL,130012000022,2009,Personnel salaries at school level - instructional staff only,3191654.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,BOYD ELEMENTARY SCHOOL,130012000022,2009,Non-personnel expenditures at school level,557808.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,BOYD ELEMENTARY SCHOOL,130012000022,2009,Personnel salaries at school level - teachers only,2798718.00,27.40,,,,,,,,,,,
GA,ATLANTA CITY,GA,BOYD ELEMENTARY SCHOOL,130012000022,2009,Total enrollment,,,0.00,0.00,0.00,0.00,325.00,0.00,5.00,335.00,25.00,5.00,0.00
GA,ATLANTA CITY,GA,KING MIDDLE SCHOOL,130012000025,2009,Personnel salaries at school level - total,6834939.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,KING MIDDLE SCHOOL,130012000025,2009,Personnel salaries at school level - instructional staff only,6279433.00,,,,,,,,,,,,
