Rank,Country,Crime Index,Safety Index
1,Venezuela,85.28,14.72
2,Papua New Guinea,82.38,17.62
3,Honduras,78.34,21.66
4,South Sudan,78.18,21.82
5,South Africa,75.72,24.28
6,Afghanistan,73.85,26.15
7,El Salvador,71.57,28.43
8,Nigeria,70.87,29.13
9,Brazil,70.62,29.38
10,Trinidad And Tobago,70.15,29.85
11,Puerto Rico,69.19,30.81
12,Mongolia,67.62,32.38
13,Jamaica,67.48,32.52
14,Bangladesh,67.24,32.76
15,Syria,66.34,33.66
16,Angola,65.51,34.49
17,Kenya,64.96,35.04
18,Malaysia,64.75,35.25
19,Peru,63.28,36.72
20,Bahamas,63.21,36.79
21,Namibia,63.09,36.91
22,Argentina,62.63,37.37
23,Dominican Republic,62.62,37.38
24,Tanzania,61.39,38.61
25,Guatemala,59.58,40.42
26,Bolivia,59.5,40.5
27,Somalia,58.83,41.17
28,Botswana,58.22,41.78
29,Uganda,56.87,43.13
30,Costa Rica,55.94,44.06
31,Fiji,55.6,44.4
32,Cambodia,54.61,45.39
33,Libya,54.47,45.53
34,Pakistan,54.38,45.62
35,Iraq,54.35,45.65
36,Zimbabwe,53.46,46.54
37,Vietnam,52.96,47.04
38,Egypt,52.86,47.14
39,Colombia,51.69,48.31
40,Uruguay,51.64,48.36
41,Ukraine,51.27,48.73
42,Mauritius,51.13,48.87
43,Iran,50.9,49.1
44,Ecuador,50.88,49.12
45,Mexico,50.32,49.68
46,Panama,50.01,49.99
47,Thailand,49.78,50.22
48,Indonesia,49.68,50.32
49,Algeria,49.63,50.37
50,Ethiopia,49.18,50.82
51,Lebanon,49.16,50.84
52,Morocco,48.89,51.11
53,United States,48.76,51.24
54,Kazakhstan,48.29,51.71
55,Chile,47.5,52.5
56,Ghana,46.99,53.01
57,Maldives,46.98,53.02
58,Sweden,46.65,53.35
59,Russia,46.05,53.95
60,Ireland,45.77,54.23
61,Norway,45.69,54.31
62,Moldova,45.35,54.65
63,Italy,44.66,55.34
64,Belgium,44.51,55.49
65,Albania,44.27,55.73
66,India,43.96,56.04
67,France,43.66,56.34
68,Jordan,43.14,56.86
69,Australia,42.42,57.58
70,United Kingdom,41.19,58.81
71,Turkey,41.09,58.91
72,Bosnia And Herzegovina,40.97,59.03
73,Tunisia,40.94,59.06
74,Greece,40.32,59.68
75,Bulgaria,40.18,59.82
76,Lithuania,40.03,59.97
77,Philippines,39.77,60.23
78,Canada,39.25,60.75
79,New Zealand,38.78,61.22
80,Montenegro,38.67,61.33
81,Macedonia,38.66,61.34
82,Serbia,38.62,61.38
83,Hungary,38.39,61.61
84,Palestinian Territory,38.01,61.99
85,Nepal,37.15,62.85
86,Latvia,36.45,63.55
87,Brunei,36.07,63.93
88,Portugal,35.39,64.61
89,Bahrain,35.35,64.65
90,Sudan,35.05,64.95
91,Sri Lanka,34.57,65.43
92,China,33.9,66.1
93,Kuwait,33.48,66.52
94,Cyprus,32.46,67.54
95,Germany,32.03,67.97
96,Poland,31.53,68.47
97,Spain,31.28,68.72
98,Malta,30.56,69.44
99,Czech Republic,30.18,69.82
100,Slovakia,30.18,69.82
101,Netherlands,29.89,70.11
102,Luxembourg,29.04,70.96
103,Israel,29.01,70.99
104,Romania,27.95,72.05
105,Croatia,27.8,72.2
106,Iceland,27.49,72.51
107,Armenia,27.08,72.92
108,Azerbaijan,27.05,72.95
109,South Korea,25.27,74.73
110,Finland,24.63,75.37
111,Oman,24.47,75.53
112,Slovenia,24.05,75.95
113,Saudi Arabia,23.65,76.35
114,Estonia,23,77
115,Switzerland,22.45,77.55
116,Belarus,22.26,77.74
117,Denmark,21.13,78.87
118,Japan,20.89,79.11
119,Georgia,20.83,79.17
120,Hong Kong,20.68,79.32
121,United Arab Emirates,20.66,79.34
122,Austria,19.25,80.75
123,Taiwan,17.24,82.76
124,Singapore,16.58,83.42
125,Qatar,15.7,84.3
126,Croatia,29.34,70.66
127,Armenia,29.14,70.86
128,Slovenia,28.71,71.29
129,Germany,28.49,71.51
130,Estonia,28.13,71.87
131,Monaco,27.94,72.06
132,Switzerland,26.77,73.23
133,Austria,26.25,73.75
134,Malta,25.91,74.09
135,Denmark,25.71,74.29
136,United Arab Emirates,22.22,77.78
137,Georgia,22.01,77.99
138,Taiwan,21.88,78.12
139,Qatar,21.04,78.96
140,Japan,20.24,79.76
141,Hong Kong,19.24,80.76
142,Rwanda,19.16,80.84
143,Faroe Islands,18.53,81.47
144,South Korea,17.99,82.01
145,Turkmenistan,17.86,82.14
146,Singapore,17.59,82.41
147,Isle Of Man,15.1,84.9
