Lea State,LEA,School State,School,ID,Year,Category,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),LEP
NJ,Livingston Twp,NJ,Livingston Senior H.S.,340882002126,2000,Total Enrollment (Secondary Schools),0.00,310.00,,,35.00,25.00,1045.00,,1415.00,125.00,15.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2006,Enrollment in AP classes,0.00,205.00,,,5.00,0.00,290.00,,500.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2006,Taking AP tests for all AP courses taken,0.00,205.00,,,5.00,0.00,290.00,,500.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2006,Passing all AP tests taken,0.00,195.00,,,5.00,0.00,280.00,,480.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2006,Passing some AP tests taken,0.00,5.00,,,0.00,0.00,10.00,,15.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2006,Total Enrollment (Secondary Schools),0.00,335.00,,,55.00,35.00,1220.00,,1640.00,205.00,5.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2009,Enrollment in AP classes,0.00,,170.00,0.00,5.00,5.00,290.00,5.00,470.00,5.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2009,Taking AP tests for some AP courses taken,0.00,,80.00,0.00,0.00,0.00,95.00,0.00,180.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2009,Taking AP tests for all AP courses taken,0.00,,45.00,0.00,0.00,0.00,85.00,0.00,135.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2009,Students who took AP courses but did not take any AP tests,0.00,,10.00,0.00,0.00,0.00,15.00,0.00,30.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2009,Passing all AP tests taken,0.00,,125.00,0.00,0.00,0.00,185.00,0.00,315.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2009,Passing some AP tests taken,0.00,,10.00,0.00,0.00,0.00,15.00,0.00,30.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2009,Passing no AP tests taken,0.00,,0.00,0.00,0.00,0.00,10.00,0.00,15.00,0.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2009,Total Enrollment (Secondary Schools),0.00,,380.00,5.00,45.00,50.00,1170.00,30.00,1680.00,215.00,10.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR  HIGH,340882002126,2011,Enrollment in AP classes,0.00,,175.00,2.00,7.00,7.00,298.00,13.00,502.00,13.00,7.00
