Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Personnel salaries at school level - total,1272981.00,,,,,,,,,,,,
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Personnel salaries at school level - instructional staff only,419232.00,,,,,,,,,,,,
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Non-personnel expenditures at school level,207490.00,,,,,,,,,,,,
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Personnel salaries at school level - teachers only,419232.00,22.50,,,,,,,,,,,
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Total enrollment,,,0.00,0.00,0.00,70.00,200.00,15.00,0.00,290.00,0.00,0.00,5.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Personnel salaries at school level - total,2268608.00,,,,,,,,,,,,
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Personnel salaries at school level - instructional staff only,675371.00,,,,,,,,,,,,
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Non-personnel expenditures at school level,151177.00,,,,,,,,,,,,
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Personnel salaries at school level - teachers only,675371.00,27.00,,,,,,,,,,,
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Total enrollment,,,0.00,0.00,0.00,35.00,220.00,0.00,0.00,255.00,20.00,0.00,0.00
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Personnel salaries at school level - total,4689987.00,,,,,,,,,,,,
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Personnel salaries at school level - instructional staff only,2609770.00,,,,,,,,,,,,
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Non-personnel expenditures at school level,518130.00,,,,,,,,,,,,
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Personnel salaries at school level - teachers only,2609770.00,66.00,,,,,,,,,,,
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Total enrollment,,,5.00,30.00,5.00,330.00,355.00,180.00,0.00,900.00,0.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2009,Personnel salaries at school level - total,7937915.00,,,,,,,,,,,,
