Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,5/2/18,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017
Aruba,ABW,"Population, total",SP.POP.TOTL,103795,104341,104822,
Afghanistan,AFG,"Population, total",SP.POP.TOTL,32758020,33736494,34656032,
Angola,AGO,"Population, total",SP.POP.TOTL,26920466,27859305,28813463,
Albania,ALB,"Population, total",SP.POP.TOTL,2889104,2880703,2876101,
Andorra,AND,"Population, total",SP.POP.TOTL,79223,78014,77281,
Arab World,ARB,"Population, total",SP.POP.TOTL,390043028,398304960,406452690,
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9070867,9154302,9269612,
Argentina,ARG,"Population, total",SP.POP.TOTL,42981515,43417765,43847430,
Armenia,ARM,"Population, total",SP.POP.TOTL,2906220,2916950,2924816,
American Samoa,ASM,"Population, total",SP.POP.TOTL,55437,55537,55599,
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,98875,99923,100963,
Australia,AUS,"Population, total",SP.POP.TOTL,23504138,23850784,24210809,
Austria,AUT,"Population, total",SP.POP.TOTL,8541575,8633169,8731471,
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9535079,9649341,9757812,
Burundi,BDI,"Population, total",SP.POP.TOTL,9891790,10199270,10524117,
Belgium,BEL,"Population, total",SP.POP.TOTL,11209057,11274196,11338476,
Benin,BEN,"Population, total",SP.POP.TOTL,10286712,10575952,10872298,
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,17585977,18110624,18646433,
Bangladesh,BGD,"Population, total",SP.POP.TOTL,159405279,161200886,162951560,
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7223938,7177991,7127822,
Bahrain,BHR,"Population, total",SP.POP.TOTL,1336397,1371855,1425171,
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,382169,386838,391232,
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3566002,3535961,3516816,
Belarus,BLR,"Population, total",SP.POP.TOTL,9474511,9489616,9501534,
Belize,BLZ,"Population, total",SP.POP.TOTL,351694,359288,366954,
Bermuda,BMU,"Population, total",SP.POP.TOTL,65139,65250,65376,
Bolivia,BOL,"Population, total",SP.POP.TOTL,10562159,10724705,10887882,
Brazil,BRA,"Population, total",SP.POP.TOTL,204213133,205962108,207652865,
Barbados,BRB,"Population, total",SP.POP.TOTL,283385,284217,284996,
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,411704,417542,423196,
Bhutan,BTN,"Population, total",SP.POP.TOTL,776448,787386,797765,
Botswana,BWA,"Population, total",SP.POP.TOTL,2168573,2209197,2250260,
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4515392,4546100,4594621,
